"동선동4가","동선동4가"
"동선동5가","동선동5가"
"동성동","동성동"
"동소문동4가","동소문동4가"
"동소문동5가","동소문동5가"
"동소문동6가","동소문동6가"
"동소문동7가","동소문동7가"
"동송읍 오덕리","동송읍 오덕리"
"동송읍 이평리","동송읍 이평리"
"동숭동","동숭동"
"동양동","동양동"
"동완산동","동완산동"
"동외동","동외동"
"동읍 무성리","동읍 무성리"
"동읍 송정리","동읍 송정리"
"동읍 신방리","동읍 신방리"
"동읍 용잠리","동읍 용잠리"
"동읍 용정리","동읍 용정리"
"동인동1가","동인동1가"
"동인동3가","동인동3가"
"동인동4가","동인동4가"
"동자동","동자동"
"동작동","동작동"
"동점동","동점동"
"동정동","동정동"
"동천동","동천동"
"동춘동","동춘동"
"동충동","동충동"
"동탄면 목리","동탄면 목리"
"동탄면 송리","동탄면 송리"
"동패동","동패동"
"동해면 도구리","동해면 도구리"
"동해면 석리","동해면 석리"
"동해면 신정리","동해면 신정리"
"동해면 약전리","동해면 약전리"
"동현동","동현동"
"동호동","동호동"
"동홍동","동홍동"
"동화면 남평리","동화면 남평리"
"동회동","동회동"
"동흥남동","동흥남동"
"두동","두동"
"두동면 봉계리","두동면 봉계리"
"두류동","두류동"
"두마면 두계리","두마면 두계리"
"두산동","두산동"
"두암동","두암동"
"두월동2가","두월동2가"
"두정동","두정동"
"두호동","두호동"
"둔내면 둔방내리","둔내면 둔방내리"
"둔내면 자포곡리","둔내면 자포곡리"
"둔덕동","둔덕동"
"둔산동","둔산동"
"둔촌동","둔촌동"
"둔포면 둔포리","둔포면 둔포리"
"둔포면 석곡리","둔포면 석곡리"
"둔포면 송용리","둔포면 송용리"
"득량동","득량동"
"득산동","득산동"
"등촌동","등촌동"
"마곡동","마곡동"
"마달동","마달동"
"마도면 두곡리","마도면 두곡리"
"마동","마동"
"마두동","마두동"
"마량면 마량리","마량면 마량리"
"마로면 관기리","마로면 관기리"
"마륵동","마륵동"
"마북동","마북동"
"마산동","마산동"
"마서면 덕암리","마서면 덕암리"
"마장동","마장동"
"마장면 덕평리","마장면 덕평리"
"마장면 오천리","마장면 오천리"
"마전동","마전동"
"마천동","마천동"
"마평동","마평동"
"마포동","마포동"
"만경읍 만경리","만경읍 만경리"
"만경읍 몽산리","만경읍 몽산리"
"만년동","만년동"
"만덕동","만덕동"
"만리동1가","만리동1가"
"만리동2가","만리동2가"
"만석동","만석동"
"만송동","만송동"
"만수동","만수동"
"만촌동","만촌동"
"망경동","망경동"
"망미동","망미동"
"망우동","망우동"
"망운면 목서리","망운면 목서리"
"망원동","망원동"
"망월동","망월동"
"망정동","망정동"
"망포동","망포동"
"매곡동","매곡동"
"매교동","매교동"
"매산로1가","매산로1가"
"매산로2가","매산로2가"
"매산로3가","매산로3가"
"매송면 원평리","매송면 원평리"
"매송면 천천리","매송면 천천리"
"매암동","매암동"
"매월동","매월동"
"매천동","매천동"
"매탄동","매탄동"
"매포읍 평동리","매포읍 평동리"
"매호동","매호동"
"매화동","매화동"
"맹동면 동성리","맹동면 동성리"
"맹동면 용촌리","맹동면 용촌리"
"멱곡동","멱곡동"
"면목동","면목동"
"명동","명동"
"명륜1가","명륜1가"
"명륜2가","명륜2가"
"명륜3가","명륜3가"
"명륜동","명륜동"
"명서동","명서동"
"명석면 우수리","명석면 우수리"
"명일동","명일동"
"명장동","명장동"
"명정동","명정동"
"명지동","명지동"
"명천동","명천동"
"명촌동","명촌동"
"모라동","모라동"
"모산동","모산동"
"모암동","모암동"
"모전동","모전동"
"모종동","모종동"
"모충동","모충동"
"모현동1가","모현동1가"
"모현동2가","모현동2가"
"모현면 왕산리","모현면 왕산리"
"모현면 일산리","모현면 일산리"
"모현면 초부리","모현면 초부리"
"목감동","목감동"
"목동","목동"
"목동동","목동동"
"목상동","목상동"
"목천동","목천동"
"목천읍 삼성리","목천읍 삼성리"
"목천읍 서리","목천읍 서리"
"목천읍 신계리","목천읍 신계리"
"목천읍 운전리","목천읍 운전리"
"목천읍 응원리","목천읍 응원리"
"목행동","목행동"
"목현동","목현동"
"무거동","무거동"
"무계동","무계동"
"무실동","무실동"
"무악동","무악동"
"무안동","무안동"
"무안면 무안리","무안면 무안리"
"무안읍 교촌리","무안읍 교촌리"
"무안읍 성남리","무안읍 성남리"
"무안읍 성동리","무안읍 성동리"
"무양동","무양동"
"무전동","무전동"
"무주읍 당산리","무주읍 당산리"
"무주읍 읍내리","무주읍 읍내리"
"묵동","묵동"
"묵정동","묵정동"
"묵호진동","묵호진동"
"문경읍 교촌리","문경읍 교촌리"
"문경읍 상리","문경읍 상리"
"문경읍 하리","문경읍 하리"
"문곡동","문곡동"
"문내동","문내동"
"문내면 동외리","문내면 동외리"
"문동동","문동동"
"문래동2가","문래동2가"
"문래동3가","문래동3가"
"문래동4가","문래동4가"
"문래동5가","문래동5가"
"문래동6가","문래동6가"
"문막읍 건등리","문막읍 건등리"
"문막읍 동화리","문막읍 동화리"
"문막읍 반계리","문막읍 반계리"
"문막읍 포진리","문막읍 포진리"
"문발동","문발동"
"문배동","문배동"
"문백면 봉죽리","문백면 봉죽리"
"문산읍 당동리","문산읍 당동리"
"문산읍 문산리","문산읍 문산리"
"문산읍 삼곡리","문산읍 삼곡리"
"문산읍 선유리","문산읍 선유리"
"문산읍 소문리","문산읍 소문리"
"문수동","문수동"
"문외동","문외동"
"문정동","문정동"
"문지동","문지동"
"문창동","문창동"
"문학동","문학동"
"문현동","문현동"
"문화동","문화동"
"문흥동","문흥동"
"물금읍 가촌리","물금읍 가촌리"
"물금읍 물금리","물금읍 물금리"
"물금읍 범어리","물금읍 범어리"
"미근동","미근동"
"미룡동","미룡동"
"미산동","미산동"
"미수동","미수동"
"미아동","미아동"
"미암면 채지리","미암면 채지리"
"미양면 보체리","미양면 보체리"
"미양면 양변리","미양면 양변리"
"미원면 미원리","미원면 미원리"
"미장동","미장동"
"미조면 미조리","미조면 미조리"
"미탄면 창리","미탄면 창리"
"미평동","미평동"
"민락동","민락동"
"박달동","박달동"
"박촌동","박촌동"
"반곡동","반곡동"
"반구동","반구동"
"반림동","반림동"
"반석동","반석동"
"반송동","반송동"
"반여동","반여동"
"반월동","반월동"
"반지동","반지동"
"반포동","반포동"
